scene,N,subset,pixel_seed,cheap_info
A_cylinder,3,"0,9,18",611369944,-5.863572427647023
A_cylinder,3,"12,26,30",1006164258,-6.293440278622863
A_cylinder,3,"9,20,23",434431799,-6.74351919583924
A_cylinder,3,"24,27,28",1989621188,-6.645399439519548
A_cylinder,3,"6,12,31",1602752719,-6.679079797282344
A_cylinder,3,"10,21,28",396754894,-6.132565798442191
A_cylinder,3,"13,28,31",476334482,-5.998921281863297
A_cylinder,3,"3,13,20",1052178935,-5.948179889621952
A_cylinder,3,"0,2,18",2037836056,-5.883492877824387
A_cylinder,3,"0,9,14",724345466,-5.795272360028789
A_cylinder,3,"23,28,29",7077337,-6.612607766086896
A_cylinder,3,"3,22,26",600966009,-6.060344821846761
A_cylinder,3,"1,8,10",925993567,-5.866422690372689
A_cylinder,3,"1,9,27",445323915,-7.5483410390735886
A_cylinder,3,"4,12,26",1150014689,-6.15104842822547
A_cylinder,3,"14,23,30",1698349569,-6.8230732258913225
A_cylinder,3,"11,18,28",56699503,-6.212676065447371
A_cylinder,3,"6,8,13",778018708,-5.874280675076022
A_cylinder,3,"10,17,28",1450311286,-6.229809601439607
A_cylinder,3,"16,17,24",1980141483,-6.049656681984452
A_cylinder,3,"19,24,28",972172462,-6.6543140683156325
A_cylinder,3,"2,14,29",1273691847,-6.296341712984334
A_cylinder,3,"10,26,29",973786798,-6.207138828666697
A_cylinder,3,"3,18,28",759027831,-6.037312225838343
A_cylinder,3,"5,12,14",1415320266,-5.8262805470126
A_cylinder,3,"3,11,21",1494224951,-5.998748543300475
A_cylinder,3,"10,25,27",1935720463,-6.3341346456536245
A_cylinder,3,"5,8,12",658766623,-5.825494791848798
