scene,N,subset,solver_seed,render_realization,reconstruction_error,ho_psnr,query_light,final_objective,grad_norm,proj_grad_norm,tail_rel_change,tail_range_abs,conv_finite,old_style_converged,iters,trace_file
conf_prism8,8,"8,14,15,19,23,24,25,27",40004,0,0.0032425904646515846,18.28070898831245,0,6.539727473864332e-05,0.00032019708755911007,2.2907886505126953,0.012655687226702142,,1,0,2400,conf_prism8_N8_8-14-15-19-23-24-25-27_s40004_r0.npy
conf_cylinder_r03_d12,2,"4,8",40002,0,0.004839313682168722,22.48492108105801,0,0.0001004694786388427,0.00046657560572086696,2.4815826416015625,0.0334789208323617,,1,0,1200,conf_cylinder_r03_d12_N2_4-8_s40002_r0.npy
conf_cylinder_r03_d12,2,"4,8",40003,0,0.004887587856501341,22.515855091983852,0,0.00010086147085530683,0.000470960432797968,2.4965057373046875,0.028835773585831205,,1,0,1200,conf_cylinder_r03_d12_N2_4-8_s40003_r0.npy
conf_cylinder_r03_d12,2,"4,8",40004,0,0.004884753376245499,22.514543258303867,0,0.00010149886657018214,0.00047727455615540463,2.514242172241211,0.0250929433319154,,1,0,1200,conf_cylinder_r03_d12_N2_4-8_s40004_r0.npy
conf_cylinder_r03_d12,2,"20,29",40002,0,0.010233286768198013,18.665043006960765,0,0.00013360516459215432,0.0004446483072617659,1.6129350662231445,0.11426504178013581,,1,0,1200,conf_cylinder_r03_d12_N2_20-29_s40002_r0.npy
conf_cylinder_r03_d12,2,"20,29",40003,0,0.010562190786004066,18.669320112880406,0,0.00013496259634848684,0.000440531895079753,1.5582243204116821,0.10203525580030275,,1,0,1200,conf_cylinder_r03_d12_N2_20-29_s40003_r0.npy
conf_cylinder_r03_d12,2,"20,29",40004,0,0.010456432588398457,18.701696104415827,0,0.000134890855406411,0.00043559961843721214,1.5493735074996948,0.10821091113786754,,1,0,1200,conf_cylinder_r03_d12_N2_20-29_s40004_r0.npy
conf_cylinder_r03_d12,2,"7,14",40000,0,0.06457794457674026,12.531641485491267,0,0.00010308068158337846,0.00031393194897066804,1.0088917016983032,0.05751716576078958,,1,0,1200,conf_cylinder_r03_d12_N2_7-14_s40000_r0.npy
conf_cylinder_r03_d12,2,"7,14",40001,0,0.06325679272413254,12.547781219270643,0,0.00010174732597079128,0.00031719711590598546,1.073447585105896,0.058851708582766386,,1,0,1200,conf_cylinder_r03_d12_N2_7-14_s40001_r0.npy
conf_cylinder_r03_d12,2,"7,14",40002,0,0.06412314623594284,12.5310848022956,0,0.00010226681479252875,0.00031531720789353845,1.058627724647522,0.05925092085315839,,1,0,1200,conf_cylinder_r03_d12_N2_7-14_s40002_r0.npy
conf_cylinder_r03_d12,2,"7,14",40003,0,0.06518125534057617,12.506495148726236,0,0.00010358863801229745,0.0003239344673195631,1.1041213274002075,0.05428986520723231,,1,0,1200,conf_cylinder_r03_d12_N2_7-14_s40003_r0.npy
