domain,model,scene,N,si_mae_A,light_dir_err,light_shape_err
analytic15_sh,sh,0109cde49c664b408e6a95a82d235070,2,0.222211092710495,15.22703787143899,0.4946882612181706
analytic15_sh,sh,0109cde49c664b408e6a95a82d235070,3,0.08024631440639496,13.405877598208763,0.44024564783579717
analytic15_sh,sh,0109cde49c664b408e6a95a82d235070,5,0.056164100766181946,10.609762408088399,0.39732233707587367
analytic15_sh,sh,0109cde49c664b408e6a95a82d235070,7,0.09182427823543549,14.267950917715492,0.46863638757244164
analytic15_sh,sh,0109cde49c664b408e6a95a82d235070,10,0.0642184242606163,9.427467454500913,0.3635590399963425
analytic15_sh,sh,0109cde49c664b408e6a95a82d235070,15,0.06561948359012604,9.992546221112425,0.38417564509800306
analytic15_sh,sh,01f2d9c189f5404c97f696d022b0ad81,1,0.0008761948556639254,33.94194650103034,0.9933934520050547
analytic15_sh,sh,01f2d9c189f5404c97f696d022b0ad81,2,0.0008761853096075356,26.566951654483727,0.7476219578271028
analytic15_sh,sh,01f2d9c189f5404c97f696d022b0ad81,3,0.0008758819312788546,23.159857301773737,0.7381922182718736
analytic15_sh,sh,01f2d9c189f5404c97f696d022b0ad81,5,0.0008751358254812658,25.440949509614278,0.7446126432781732
analytic15_sh,sh,01f2d9c189f5404c97f696d022b0ad81,7,0.0008760079508647323,22.44265716816,0.7099622128213515
analytic15_sh,sh,01f2d9c189f5404c97f696d022b0ad81,10,0.0008755453745834529,24.882714816778357,0.7740840638979101
analytic15_sh,sh,01f2d9c189f5404c97f696d022b0ad81,15,0.0008756141178309917,28.17928173214047,0.8319258144934245
analytic15_sh,sh,024bfdbc8f1c4a75bdbaaecb905e04e8,1,0.06353157758712769,7.598665591931675,0.371275287768546
analytic15_sh,sh,024bfdbc8f1c4a75bdbaaecb905e04e8,2,0.06194555014371872,10.217370506888543,0.48625977274911736
analytic15_sh,sh,024bfdbc8f1c4a75bdbaaecb905e04e8,3,0.03774107247591019,10.645757723695583,0.5029201267013795
analytic15_sh,sh,024bfdbc8f1c4a75bdbaaecb905e04e8,5,0.0298269372433424,7.570532655286354,0.41592342824896783
analytic15_sh,sh,024bfdbc8f1c4a75bdbaaecb905e04e8,7,0.04161205142736435,11.074921538098137,0.48736481689272254
analytic15_sh,sh,024bfdbc8f1c4a75bdbaaecb905e04e8,10,0.0328298956155777,7.866904945931411,0.393874586409199
analytic15_sh,sh,024bfdbc8f1c4a75bdbaaecb905e04e8,15,0.03319485858082771,10.120532942889223,0.426121885094349
analytic15_sh,sh,027e8e8787bf40689bdd8e795636a106,1,0.06370608508586884,1.884011365797523,0.3842943236640536
analytic15_sh,sh,027e8e8787bf40689bdd8e795636a106,2,0.07739464938640594,8.377256559915281,0.36172007401171624
analytic15_sh,sh,027e8e8787bf40689bdd8e795636a106,3,0.02478695474565029,5.182622780490717,0.3106855437715572
analytic15_sh,sh,027e8e8787bf40689bdd8e795636a106,5,0.02315300703048706,6.317625501505963,0.3286215000466376
analytic15_sh,sh,027e8e8787bf40689bdd8e795636a106,7,0.02527298592031002,7.082926804273534,0.3548912287924418
analytic15_sh,sh,027e8e8787bf40689bdd8e795636a106,10,0.023828785866498947,6.370513487908749,0.3116771688133654
analytic15_sh,sh,027e8e8787bf40689bdd8e795636a106,15,0.023915356025099754,6.372442470065764,0.32759946982039007
analytic15_sh,sh,02c1619333c74000886bee7b9667e1d6,1,0.00014788379485253245,54.45032338488342,1.083553432184327
analytic15_sh,sh,02c1619333c74000886bee7b9667e1d6,2,0.00014788370754104108,65.25303233751912,1.0099205788354086
analytic15_sh,sh,02c1619333c74000886bee7b9667e1d6,3,0.00014788420230615884,93.14910583574658,1.0624216612065436
analytic15_sh,sh,02c1619333c74000886bee7b9667e1d6,5,0.0001478829508414492,119.67824144187611,1.083043548845616
analytic15_sh,sh,02c1619333c74000886bee7b9667e1d6,7,0.0001478841295465827,81.43670417108784,1.0794529714400078
