scene,N,subset,final_loss,success,converged,grad_norm,tail_range,restart,iters,si_mae_A,ho_psnr
conf_cone_r04_d12,8,"0,2,5,6,9,20,26,31",0.00013508180563803762,0,0,0.0005544104507159083,nan,0,2400,0.006956449709832668,33.06179843882888
conf_cone_r04_d12,8,"0,2,10,16,17,20,24,30",0.00013410596875473857,0,0,0.0005377717421956106,nan,0,2400,0.006789470091462135,32.82389101753898
conf_cone_r04_d12,8,"0,4,6,10,13,15,25,31",0.0001313969842158258,0,0,0.0005597376392247671,nan,0,2400,0.006964567583054304,33.05001758515979
conf_cone_r04_d12,8,"0,4,6,15,19,20,27,31",0.00012007146142423153,0,0,0.0005326217324638524,nan,0,2400,0.006962239742279053,32.616226813150774
conf_cone_r04_d12,8,"0,14,17,22,23,28,30,31",0.00012350472388789058,0,0,0.0005463129796673801,nan,0,2400,0.006837041582912207,32.76268341163109
conf_cone_r04_d12,8,"1,2,5,8,19,22,23,25",0.0001297683920711279,0,0,0.000543400648784978,nan,0,2400,0.0070211011916399,17.930989487797966
conf_cone_r04_d12,8,"1,2,7,8,20,24,25,31",0.00012057858111802489,0,0,0.0005295833648784233,nan,0,2400,0.006738885771483183,16.89170283634463
conf_cone_r04_d12,8,"1,2,11,13,22,23,25,31",0.00012004991003777832,0,0,0.0005514748491502767,nan,0,2400,0.006891406141221523,17.546969732253434
conf_cone_r04_d12,8,"1,4,9,16,17,20,23,27",0.00010304403258487582,0,0,0.0005155719006742356,nan,0,2400,0.00695571955293417,15.689136585448002
conf_cone_r04_d12,8,"1,6,7,8,9,26,27,28",0.0001121607274399139,0,0,0.0005321022471381803,nan,0,2400,0.007094888016581535,16.93797655568332
conf_cone_r04_d12,8,"1,6,13,15,20,22,25,30",0.00011222217290196568,0,0,0.0005290805505765415,nan,0,2400,0.0069288345985114574,16.657651550113307
conf_cone_r04_d12,8,"1,9,16,20,22,24,27,31",0.00010810051753651351,0,0,0.0005115700920783746,nan,0,2400,0.006811451632529497,15.878616782421132
