P,N,cutoff,path,full_lam_min_pos_norm,full_lam_max_norm,full_logdet_pos_norm,full_a_opt_pos_norm,full_d_pos,full_trace,full_min_eig,full_gauge_residual,full_offdiag_max,rank_Fk_min,active_frac_min,boundary_frac_max,scene,subset
1000,8,1e-08,dense,5.442871551772968e-07,0.002518471194862905,-7.326640524597265,7583.07790960442,999,1881.7941194955604,7.103071162840625e-13,1.718142299947146e-13,0.1457917036091852,9,0.653,0.0,conf_torus_R06_r035,"7,14,18,21,22,25,26,31"
1000,8,1e-08,dense,9.493184987984508e-07,0.0036101323848157308,-7.352740672735807,6235.562162896962,999,1304.1233716479323,2.525797571955679e-14,2.743907855469379e-14,0.15267351190300166,9,0.653,0.0,conf_torus_R06_r035,"3,14,15,22,24,25,28,30"
1000,8,1e-08,dense,7.122115305806363e-07,0.001854724800330809,-7.130330954149905,4770.884869498461,999,2330.048386414258,6.761372241189816e-13,1.7050281669941312e-13,0.09711052443985405,9,0.537,0.0,conf_torus_R06_r035,"1,10,11,13,15,21,26,30"
1000,8,1e-08,dense,2.243396781724326e-06,0.0014233696113784787,-6.979420407536457,2360.0411323528106,999,1888.849222813663,1.8108498320085915e-13,1.0040079225003043e-13,0.11383608817370577,9,0.433,0.0,conf_torus_R06_r035,"0,1,2,4,6,8,10,19"
1000,8,1e-08,dense,7.503806383693917e-07,0.0019118806298827017,-7.144088729075652,4915.196800780661,999,2176.0546328730097,-1.615049240177857e-14,3.4990378797532127e-14,0.1544777428606231,9,0.578,0.0,conf_torus_R06_r035,"6,8,13,14,17,21,25,29"
1000,8,1e-08,dense,3.9870699266603577e-07,0.0026738691831104896,-7.298454424862915,7977.652843192315,999,2180.0154163016223,-3.301178774783864e-14,1.9290850919168683e-14,0.20208982903965073,9,0.721,0.0,conf_torus_R06_r035,"2,16,18,23,25,26,28,31"
1000,8,1e-08,dense,1.321218905921102e-06,0.0016809429030339178,-7.061204480427066,3326.787621175723,999,2282.383883738198,1.991423838756448e-15,5.2289069470482394e-14,0.12413118654914904,9,0.491,0.0,conf_torus_R06_r035,"0,5,9,17,20,21,24,31"
1000,8,1e-08,dense,8.789475419103291e-07,0.0035357868089187184,-7.414308146146522,7016.190654277699,999,1340.5717906745256,-3.8081100777841753e-14,2.70427443631979e-14,0.15651398256652463,9,0.446,0.0,conf_torus_R06_r035,"4,17,19,21,22,28,30,31"
1000,8,1e-08,dense,7.144109498741888e-07,0.004694756179816378,-7.600864911381801,12538.010466471682,999,1022.6761140434735,-1.4410422462590654e-13,4.286513438483529e-14,0.17497832338025632,9,0.464,0.0,conf_torus_R06_r035,"4,12,15,17,25,27,28,29"
1000,8,1e-08,dense,6.197347798704199e-07,0.002118141570056763,-7.227299075073319,6599.421495325151,999,2266.7081214658892,2.501744471306022e-13,5.965453394780595e-14,0.1407239931523628,9,0.59,0.0,conf_torus_R06_r035,"3,11,12,21,23,27,29,31"
