scene,N,subset,lambda_min_eff,logdet_eff,a_opt_eff,si_mae_A,ho_psnr
cylinder,12,"0,2,6,11,12,14,17,18,19,21,23,30",0.00036138608276930974,1633.2321681305004,15.672631018241175,0.004933599382638931,28.52488628715478
cylinder,12,"3,5,8,9,11,12,16,17,21,25,26,29",0.1587262438404907,2475.88324691414,0.40352022735561055,0.005006656050682068,21.209085610006085
cylinder,12,"5,7,8,9,12,15,18,19,21,27,28,29",0.00012793494619710177,1987.4014565364068,37.87226902676064,0.004938521888107061,20.503028076542652
cylinder,12,"0,2,5,7,9,11,14,15,25,26,29,31",0.08482049060351085,2050.6158640728795,0.5606072270186316,0.00501709571108222,28.683432667287903
cylinder,12,"0,1,2,4,5,6,12,13,14,18,23,28",0.11786974944059105,2057.1384797306146,0.490217836474806,0.00517042214050889,16.785570591719704
cylinder,12,"11,12,14,15,16,19,23,24,25,27,28,31",0.0034313516377191644,737.4411599209491,4.209037447781939,0.005477877799421549,17.647271810604263
cylinder,12,"1,7,9,11,12,15,21,24,25,27,28,30",0.0016917965336548278,321.1952000117249,6.336574963084965,0.005069676786661148,17.688707016273884
cylinder,12,"0,1,5,6,13,16,21,24,26,27,30,31",0.11752822101587473,2802.555383665658,0.3938442719567562,0.004935332573950291,19.33339215505588
cylinder,12,"0,4,5,6,11,12,16,17,20,21,27,30",0.03483213519750517,1997.3218031201463,0.6910753570245296,0.005081143230199814,28.843272590112228
cylinder,12,"1,4,9,12,19,20,21,23,26,27,30,31",0.0007830148097194227,886.6758102233732,5.799003848568892,0.0051790447905659676,18.37662369676289
cylinder,12,"2,4,7,10,12,15,16,19,22,27,30,31",0.0016340214363052981,298.4385829026462,5.956853478392737,0.005045104771852493,17.535259029576338
cylinder,12,"1,2,3,7,8,10,11,13,16,22,28,31",0.1553101252842566,2095.6048979579327,0.48177386122516175,0.004901101812720299,20.285015983289068
cylinder,12,"1,4,8,12,13,18,20,21,22,23,29,31",0.09591228103390405,2271.0730236729783,0.5132750208602138,0.0050131892785429955,20.921233965060566
cylinder,12,"3,9,12,14,17,19,20,22,24,27,29,31",0.006438552684209074,528.4902464037183,3.2051604048934697,0.005165956448763609,18.0661849652089
hemisphere,3,"4,22,31",0.00036829924194722684,-2576.030211360278,18.013752849743106,0.008651470765471458,16.883526434036874
hemisphere,3,"7,11,20",0.0002398087220528026,-2535.8695952249386,14.92018570261443,0.007992032915353775,16.141042423274502
