scene,N,arm,subset_id,subset_str,reconstruction_error,success
conf_cube_plus_cone,3,proxy_top,19,"0,1,21",0.0001739657309371978,0
conf_cube_plus_cone,3,proxy_top,260,"0,11,17",0.00014736146840732545,0
conf_cube_plus_cone,3,proxy_top,107,"0,4,25",0.00014476623618975282,0
conf_cube_plus_cone,3,proxy_top,227,"0,9,25",0.0001623697899049148,0
conf_cube_plus_cone,3,proxy_top,293,"0,12,31",0.0001571341563249007,0
conf_cube_plus_cone,3,proxy_top,158,"0,6,25",0.00013946869876235723,0
conf_cube_plus_cone,3,proxy_top,299,"0,13,19",0.0003052435349673033,0
conf_cube_plus_cone,3,proxy_top,258,"0,11,15",0.0001554498157929629,0
conf_cube_plus_cone,3,proxy_top,276,"0,12,14",0.00018148907111026347,0
conf_cube_plus_cone,3,proxy_top,371,"0,17,29",0.00040955934673547745,0
conf_cube_plus_cone,3,proxy_top,181,"0,7,24",0.0006139085744507611,0
conf_cube_plus_cone,3,proxy_top,329,"0,15,16",0.0008816287736408412,0
conf_cube_plus_cone,3,proxy_top,186,"0,7,29",0.00044351950054988265,0
conf_cube_plus_cone,3,proxy_top,183,"0,7,26",0.0001745271438267082,0
conf_cube_plus_cone,3,proxy_top,247,"0,10,24",0.0006163684302009642,0
conf_cube_plus_cone,3,proxy_top,366,"0,17,24",0.0005736086168326437,0
conf_cube_plus_cone,3,proxy_top,217,"0,9,15",0.00017070611647795886,0
conf_cube_plus_cone,3,proxy_top,334,"0,15,21",0.00018683935923036188,0
conf_cube_plus_cone,3,proxy_top,297,"0,13,17",0.00016770239744801074,0
conf_cube_plus_cone,3,proxy_top,221,"0,9,19",0.00028852952527813613,0
conf_cube_plus_cone,3,proxy_top,399,"0,20,21",0.00018717926286626607,0
conf_cube_plus_cone,3,proxy_top,284,"0,12,22",0.00019336657715030015,0
conf_cube_plus_cone,3,proxy_top,281,"0,12,19",0.0002864970010705292,0
conf_cube_plus_cone,3,proxy_top,348,"0,16,20",0.0008742467034608126,0
conf_cube_plus_cone,3,random,179,"0,7,22",0.0002025886788032949,0
conf_cube_plus_cone,3,random,50,"0,2,23",0.00016114675963763148,0
conf_cube_plus_cone,3,random,246,"0,10,23",0.00016683799913153052,0
conf_cube_plus_cone,3,random,340,"0,15,27",0.0003081659961026162,0
conf_cube_plus_cone,3,random,395,"0,19,28",0.0002904264838434756,0
conf_cube_plus_cone,3,random,431,"0,23,26",0.0001659379922784865,0
conf_cube_plus_cone,3,random,294,"0,13,14",0.00020070161554031074,0
conf_cube_plus_cone,3,random,14,"0,1,16",0.0008201414602808654,0
conf_cube_plus_cone,3,random,341,"0,15,28",0.0001629491162020713,0
conf_cube_plus_cone,3,random,261,"0,11,18",0.00016323316958732903,0
conf_cube_plus_cone,3,random,307,"0,13,27",0.0003183630178682506,0
conf_cube_plus_cone,3,random,98,"0,4,16",0.0008330208947882056,0
conf_cube_plus_cone,3,random,365,"0,17,23",0.00015098328003659844,0
conf_cube_plus_cone,3,random,453,"0,26,30",0.000161395117174834,0
conf_cube_plus_cone,3,random,337,"0,15,24",0.0006105747888796031,0
conf_cube_plus_cone,3,random,35,"0,2,8",0.0008001704700291157,0
conf_cube_plus_cone,3,random,97,"0,4,15",0.00015249094576574862,0
conf_cube_plus_cone,3,random,317,"0,14,20",0.0001834464492276311,0
conf_cube_plus_cone,3,random,77,"0,3,22",0.0001961543457582593,0
conf_cube_plus_cone,3,random,268,"0,11,25",0.0001486377150285989,0
conf_cube_plus_cone,3,random,336,"0,15,23",0.00015947833890095353,0
conf_cube_plus_cone,3,random,119,"0,5,11",0.00016739527927711606,0
