23:20:38 [ok] phys=3.50GB pf=7.20GB temp=82°C
23:20:41 [ok] phys=3.54GB pf=7.19GB temp=78°C
23:20:44 [ok] phys=3.57GB pf=7.22GB temp=77°C
23:20:47 [ok] phys=3.57GB pf=7.23GB temp=77°C
23:20:50 [ok] phys=3.59GB pf=7.25GB temp=78°C
23:20:53 [ok] phys=3.59GB pf=7.23GB temp=77°C
23:20:56 [ok] phys=3.59GB pf=7.23GB temp=77°C
23:20:59 [ok] phys=3.59GB pf=7.22GB temp=80°C
23:21:02 [ok] phys=3.60GB pf=7.23GB temp=77°C
23:21:06 [ok] phys=3.60GB pf=7.23GB temp=77°C
23:21:09 [ok] phys=3.58GB pf=7.17GB temp=77°C
23:21:12 [ok] phys=3.58GB pf=7.17GB temp=81°C
23:21:15 [ok] phys=3.49GB pf=7.06GB temp=78°C
23:21:18 [ok] phys=3.53GB pf=7.10GB temp=77°C
23:21:21 [ok] phys=3.51GB pf=7.06GB temp=81°C
23:21:24 [ok] phys=3.54GB pf=7.09GB temp=78°C
23:21:27 [ok] phys=3.56GB pf=7.12GB temp=77°C
23:21:30 [ok] phys=3.63GB pf=7.22GB temp=77°C
23:21:33 [ok] phys=3.65GB pf=7.25GB temp=77°C
23:21:36 [ok] phys=3.66GB pf=7.25GB temp=78°C
23:21:39 [ok] phys=3.66GB pf=7.25GB temp=77°C
23:21:42 [ok] phys=3.62GB pf=7.08GB temp=77°C
23:21:45 [ok] phys=3.61GB pf=7.21GB temp=77°C
23:21:48 [ok] phys=3.62GB pf=7.21GB temp=78°C
23:21:51 [ok] phys=3.62GB pf=7.21GB temp=77°C
23:21:54 [ok] phys=3.61GB pf=7.22GB temp=77°C
23:21:57 [ok] phys=3.61GB pf=7.21GB temp=78°C
23:22:00 [ok] phys=3.61GB pf=7.20GB temp=77°C
23:22:03 [ok] phys=3.61GB pf=7.20GB temp=77°C
23:22:07 [ok] phys=3.59GB pf=7.20GB temp=77°C
23:22:10 [ok] phys=3.61GB pf=7.24GB temp=78°C
23:22:13 [ok] phys=3.61GB pf=7.24GB temp=77°C
23:22:16 [ok] phys=3.61GB pf=7.23GB temp=77°C
23:22:19 [ok] phys=3.61GB pf=7.24GB temp=77°C
23:22:22 [ok] phys=3.61GB pf=7.24GB temp=77°C
23:22:25 [ok] phys=3.61GB pf=7.24GB temp=77°C
23:22:28 [ok] phys=3.61GB pf=7.23GB temp=77°C
23:22:31 [ok] phys=3.62GB pf=7.25GB temp=78°C
23:22:34 [ok] phys=3.62GB pf=7.25GB temp=77°C
23:22:37 [ok] phys=3.63GB pf=7.27GB temp=77°C
23:22:40 [ok] phys=3.63GB pf=7.26GB temp=77°C
