probe,scene,N,g0,g1,g2,g3,g4,g_min_over_max
B,04e43ff1195e45029a03b6cdc53f9aa8,5,0.0005641495808959007,0.0005641501629725099,0.0005641545867547393,0.0005641691386699677,0.0005641697789542377,0.9999641986169936
B,04e5ee9a0baa446e9ab973cce0153bc8,5,0.0005728007527068257,0.0005728008109144866,0.0005728033720515668,0.0005728041869588196,0.0005728007527068257,0.9999940044921597
B,05703932eb2c45c0918d4f91c875d064,5,0.0005606693448498845,0.0005606600898317993,0.0005606699851341546,0.0005606826161965728,0.00056066969409585,0.9999598233222811
B,060c9e87a01b4fd08f87578d63e4961e,5,0.0005783084197901189,0.0005782716907560825,0.0005782589432783425,0.0005782443913631141,0.0005782702355645597,0.9998892832529949
B,062ad5b97bf34d75b7c7003b9b6f2cb0,5,0.0005784965469501913,0.0005785449175164104,0.0005785283865407109,0.0005785603425465524,0.0005785432294942439,0.9998897338934771
B,069044476a7f49b9b83f6364654c85c3,5,0.000562938570510596,0.0005629188381135464,0.0005629255319945514,0.0005629644729197025,0.000562902947422117,0.9998907115803126
B,0692e0ff0ef34b21b1f3659270d2e558,5,0.0005609003128483891,0.0005608978681266308,0.0005609485669992864,0.0005609338986687362,0.0005609437939710915,0.9999096193917977
B,06dd0877eb584e569d1bc9070e42baa2,5,0.0005724067450501025,0.0005724215880036354,0.000572473683860153,0.0005724296788685024,0.0005724164075218141,0.9998830709394375
B,07a81928f67f4aa2ad0d59a057ae374e,5,0.000561799795832485,0.0005617934511974454,0.0005618133000098169,0.0005618040449917316,0.0005617932765744627,0.9999643592713916
B,07c2642631f947a5ac799dddeea39eb9,5,0.0005647664074786007,0.0005647516227327287,0.0005647645448334515,0.000564747431781143,0.0005647465586662292,0.9999648548282818
B,086be698bca14d7791d9032884909954,5,0.0005676198052242398,0.0005676412838511169,0.000567663402762264,0.0005676375585608184,0.0005676141590811312,0.9999132519713387
B,087ca366dee64594bba4189b31dd7a45,5,0.0005615607369691133,0.0005615842528641224,0.0005615921691060066,0.0005615866975858808,0.0005615910631604493,0.9999440303148398
B,08aab5b01d384e0082c56c17fc9f2245,5,0.0005783336237072945,0.0005783591768704355,0.0005783344968222082,0.0005783407832495868,0.0005783303640782833,0.9999501818362975
B,08bc3a0eec7042389949e2c5ad9bf700,5,0.0005779603379778564,0.0005779917701147497,0.0005780203500762582,0.0005780134233646095,0.0005780453211627901,0.9998529817960248
B,099450527f614a3e81baf1fe4fe087ab,5,0.0005660137394443154,0.0005659949965775013,0.0005660010501742363,0.000566002621781081,0.0005660085007548332,0.9999668861981468
