probe,scene,N,si_mae_A,depth_l1,normal_mae,sh_err
A,099450527f614a3e81baf1fe4fe087ab,2,0.059799909591674805,0.24517132341861725,8.167610168457031,1.1658010482788086
A,099450527f614a3e81baf1fe4fe087ab,3,0.05979997664690018,0.24517159163951874,8.167588233947754,1.4263648986816406
A,099450527f614a3e81baf1fe4fe087ab,5,0.059799835085868835,0.24517148733139038,8.167623519897461,1.8465684652328491
A,09fb340c826c402683eca48320936aec,1,0.00014793658920098096,0.3404940962791443,10.08711051940918,0.8221259117126465
A,09fb340c826c402683eca48320936aec,2,0.00014793657464906573,0.34049487113952637,10.087116241455078,1.1657147407531738
A,09fb340c826c402683eca48320936aec,3,0.00014793658920098096,0.34049302339553833,10.087090492248535,1.4264450073242188
A,09fb340c826c402683eca48320936aec,5,0.0001479365600971505,0.3404932916164398,10.087100982666016,1.846479058265686
A,0a354259149c4930bac9bab65ce89cdd,1,0.018995895981788635,0.2760883867740631,3.841151237487793,0.8216902017593384
A,0a354259149c4930bac9bab65ce89cdd,2,0.018995914608240128,0.2760877311229706,3.8411569595336914,1.1658562421798706
A,0a354259149c4930bac9bab65ce89cdd,3,0.01899588480591774,0.27608802914619446,3.841151475906372,1.4262974262237549
A,0a354259149c4930bac9bab65ce89cdd,5,0.018995892256498337,0.27608782052993774,3.8411693572998047,1.8466084003448486
A,0a39c8c2a2df48b6a072da1d9306cf36,1,0.10698244720697403,0.32287535071372986,3.7314577102661133,0.8219361901283264
A,0a39c8c2a2df48b6a072da1d9306cf36,2,0.10698246210813522,0.3228752613067627,3.7314467430114746,1.1657763719558716
A,0a39c8c2a2df48b6a072da1d9306cf36,3,0.10698246210813522,0.3228754997253418,3.7314727306365967,1.4263828992843628
A,0a39c8c2a2df48b6a072da1d9306cf36,5,0.10698246955871582,0.3228742480278015,3.7314553260803223,1.8465383052825928
A,0ae2a05bf20c4b028b86c33e26aa9e0c,1,0.08632881194353104,0.21556414663791656,7.665185928344727,0.822185218334198
A,0ae2a05bf20c4b028b86c33e26aa9e0c,2,0.0863289162516594,0.2155662178993225,7.665177345275879,1.1656960248947144
A,0ae2a05bf20c4b028b86c33e26aa9e0c,3,0.08632878214120865,0.21556441485881805,7.665146350860596,1.426464319229126
A,0ae2a05bf20c4b028b86c33e26aa9e0c,5,0.08632884919643402,0.21556413173675537,7.665191173553467,1.846461534500122
A,0af17e65f26647cc99709f7d15944994,1,0.07283005118370056,0.2968112826347351,6.906584739685059,0.8215408325195312
A,0af17e65f26647cc99709f7d15944994,2,0.07283009588718414,0.2968108654022217,6.906580448150635,1.1659018993377686
A,0af17e65f26647cc99709f7d15944994,3,0.07283002138137817,0.2968110740184784,6.906588554382324,1.4262621402740479
A,0af17e65f26647cc99709f7d15944994,5,0.07283005118370056,0.29680994153022766,6.906584739685059,1.8466626405715942
A,0b1cc5fa9d8744ddabb84d3ec55b9a97,1,0.0714237242937088,0.32128462195396423,31.750747680664062,0.8223642706871033
A,0b1cc5fa9d8744ddabb84d3ec55b9a97,2,0.07142370939254761,0.32128599286079407,31.750696182250977,1.1656386852264404
A,0b1cc5fa9d8744ddabb84d3ec55b9a97,3,0.07142363488674164,0.3212854266166687,31.750720977783203,1.426522970199585
A,0b1cc5fa9d8744ddabb84d3ec55b9a97,5,0.07142389565706253,0.3212854862213135,31.750673294067383,1.846407413482666
A,0b6168841a3f46bdaa56947d469c79da,1,0.00014689612726215273,0.36995744705200195,12.587881088256836,0.8216500878334045
A,0b6168841a3f46bdaa56947d469c79da,2,0.00014689614181406796,0.36995744705200195,12.587874412536621,1.16587495803833
A,0b6168841a3f46bdaa56947d469c79da,3,0.00014689612726215273,0.36995697021484375,12.587881088256836,1.4263091087341309
A,0b6168841a3f46bdaa56947d469c79da,5,0.00014689612726215273,0.36995843052864075,12.587830543518066,1.8466471433639526
A,0bba5774d2bd40e48a2d246fdd0b92f5,1,0.05368443951010704,0.20384526252746582,4.150866508483887,0.8201868534088135
A,0bba5774d2bd40e48a2d246fdd0b92f5,2,0.053684454411268234,0.2038458287715912,4.150850772857666,1.166338562965393
A,0bba5774d2bd40e48a2d246fdd0b92f5,3,0.0536842979490757,0.2038453072309494,4.150854110717773,1.425906777381897
A,0bba5774d2bd40e48a2d246fdd0b92f5,5,0.05368434637784958,0.20384421944618225,4.150838375091553,1.8471561670303345
A,0c5eb9cedea94e2180187a07cb661ceb,1,0.012784205377101898,0.2587325870990753,11.051586151123047,0.8205854892730713
A,0c5eb9cedea94e2180187a07cb661ceb,2,0.012784307822585106,0.25873303413391113,11.051587104797363,1.1662123203277588
A,0c5eb9cedea94e2180187a07cb661ceb,3,0.012784182094037533,0.2587319314479828,11.051582336425781,1.4260309934616089
A,0c5eb9cedea94e2180187a07cb661ceb,5,0.012784144841134548,0.2587336003780365,11.051591873168945,1.8470332622528076
